"DateTime","Hagar Verð ","Hagar Magn"
"2016-02-25 18:00:00",46.15,8231111
"2016-02-26 18:00:00",46.45,6514000
"2016-02-29 18:00:00",46.9,988614
"2016-03-01 18:00:00",47.6,6953477
"2016-03-02 18:00:00",48,2198058
"2016-03-03 18:00:00",48,1697944
"2016-03-04 18:00:00",48.2,643137
"2016-03-07 18:00:00",48.25,2004456
"2016-03-08 18:00:00",47.85,4456550
"2016-03-09 18:00:00",47.95,1279009
"2016-03-10 18:00:00",48.7,7907900
"2016-03-11 18:00:00",48.85,3597504
"2016-03-14 18:00:00",49,1964000
"2016-03-15 18:00:00",49.5,5254054
"2016-03-16 18:00:00",48.9,5303000
"2016-03-17 18:00:00",48.4,2504000
"2016-03-18 18:00:00",49.2,4122000
"2016-03-21 18:00:00",49.1,1051774
"2016-03-22 18:00:00",48.65,291000
"2016-03-23 18:00:00",48.8,2500000
"2016-03-29 18:00:00",48.3,2511000
"2016-03-30 18:00:00",48.6,1619000
"2016-03-31 18:00:00",48.625,45000
"2016-04-01 18:00:00",48.575,1312000
"2016-04-04 18:00:00",48.55,689237
"2016-04-05 18:00:00",48.4,5069580
"2016-04-06 18:00:00",48.2,750000
"2016-04-07 18:00:00",48.7,1083837
"2016-04-08 18:00:00",48.25,353806
"2016-04-11 18:00:00",48.5,551000
"2016-04-12 18:00:00",48.05,3894560
"2016-04-13 18:00:00",48.4,6019500
"2016-04-14 18:00:00",48.4,0
"2016-04-15 18:00:00",49.1,8641749
"2016-04-18 18:00:00",49,2301000
"2016-04-19 18:00:00",49.35,1021000
"2016-04-20 18:00:00",49.1,3343211
"2016-04-22 18:00:00",49.1,1634000
"2016-04-25 18:00:00",48.6,1380598
"2016-04-26 18:00:00",48.55,524706
"2016-04-27 18:00:00",49.1,2042000
"2016-04-28 18:00:00",48.7,3270640
"2016-04-29 18:00:00",48,4219030
"2016-05-02 18:00:00",47.1,3519895
"2016-05-03 18:00:00",48,2967314
"2016-05-04 18:00:00",48.8,4714439
"2016-05-06 18:00:00",48.4,12219358
"2016-05-09 18:00:00",48.65,900000
"2016-05-10 18:00:00",48.55,8257000
"2016-05-11 18:00:00",49.15,520000
"2016-05-12 18:00:00",48.8,2040598
