"DateTime","Reginn Verð ","Reginn Magn"
"2015-04-09 18:00:00",15.3,3092500
"2015-04-10 18:00:00",15.35,57388
"2015-04-13 18:00:00",15.3,1000000
"2015-04-14 18:00:00",15.075,6000000
"2015-04-15 18:00:00",15.125,6313998
"2015-04-16 18:00:00",15.05,5083333
"2015-04-17 18:00:00",15.05,0
"2015-04-20 18:00:00",15.05,156600
"2015-04-21 18:00:00",14.9,1000000
"2015-04-22 18:00:00",14.75,2170000
"2015-04-24 18:00:00",14.75,1013000
"2015-04-27 18:00:00",14.45,3000000
"2015-04-28 18:00:00",14.3,3343293
"2015-04-29 18:00:00",14.4,1000000
"2015-04-30 18:00:00",14.25,1310400
"2015-05-04 18:00:00",14.25,0
"2015-05-05 18:00:00",14.25,141308
"2015-05-06 18:00:00",14.15,6000000
"2015-05-07 18:00:00",13.95,4500000
"2015-05-08 18:00:00",14.15,3390350
"2015-05-11 18:00:00",14.15,0
"2015-05-12 18:00:00",14.15,0
"2015-05-13 18:00:00",14.25,412000
"2015-05-15 18:00:00",14.25,156000
"2015-05-18 18:00:00",14.1,73964
"2015-05-19 18:00:00",14.1,0
"2015-05-20 18:00:00",14.13,15000
"2015-05-21 18:00:00",14.18,1001500
"2015-05-22 18:00:00",14.18,0
"2015-05-26 18:00:00",14.2,895059
"2015-05-27 18:00:00",14.3,138488
"2015-05-28 18:00:00",14.4,500000
"2015-05-29 18:00:00",14.25,1172389
"2015-06-01 18:00:00",14.1,4575391
"2015-06-02 18:00:00",14.1,235000
"2015-06-03 18:00:00",14.1,300000
"2015-06-04 18:00:00",14,403879
"2015-06-05 18:00:00",13.95,44391
"2015-06-08 18:00:00",14.3,4500000
"2015-06-09 18:00:00",14.3,3100000
"2015-06-10 18:00:00",14.16,2012000
"2015-06-11 18:00:00",14.1,1000000
"2015-06-12 18:00:00",14.1,78171
"2015-06-15 18:00:00",14,100000
"2015-06-16 18:00:00",14.21,3249186
"2015-06-18 18:00:00",14.4,500000
"2015-06-19 18:00:00",14.4,1000000
"2015-06-22 18:00:00",14.3,65404
"2015-06-23 18:00:00",14.2,6127780
"2015-06-24 18:00:00",14.63,8858805
"2015-06-25 18:00:00",14.8,527464
"2015-06-26 18:00:00",14.8,1068500
"2015-06-29 18:00:00",14.9,2027906
"2015-06-30 18:00:00",14.85,4770000
"2015-07-01 18:00:00",15,552100
"2015-07-02 18:00:00",15.05,12500000
"2015-07-03 18:00:00",15.075,2500000
"2015-07-06 18:00:00",15.4,8512229
"2015-07-07 18:00:00",15.375,2125000
"2015-07-08 18:00:00",15.5,10626212
"2015-07-09 18:00:00",15.6,1925000
"2015-07-10 18:00:00",15.9,4222417
"2015-07-13 18:00:00",15.9,553673
"2015-07-14 18:00:00",15.75,887155
"2015-07-15 18:00:00",15.75,10006000
"2015-07-16 18:00:00",15.8,175000
"2015-07-17 18:00:00",15.65,60000
"2015-07-20 18:00:00",15.65,0
"2015-07-21 18:00:00",15.7,328042
"2015-07-22 18:00:00",15.75,15000
"2015-07-23 18:00:00",15.85,14000000
"2015-07-24 18:00:00",16,100000
"2015-07-27 18:00:00",16,0
"2015-07-28 18:00:00",15.85,3000000
"2015-07-29 18:00:00",15.8,3500000
"2015-07-30 18:00:00",15.75,5357388
"2015-07-31 18:00:00",15.7,2146570
"2015-08-04 18:00:00",15.725,7682927
"2015-08-05 18:00:00",15.8,1000000
"2015-08-06 18:00:00",15.8,0
"2015-08-07 18:00:00",15.7,216000
"2015-08-10 18:00:00",15.8,3105000
"2015-08-11 18:00:00",15.75,6000000
"2015-08-12 18:00:00",15.75,15500000
"2015-08-13 18:00:00",15.85,8668500
"2015-08-14 18:00:00",15.85,5500000
"2015-08-17 18:00:00",15.8,5580000
"2015-08-18 18:00:00",15.6,2970739
"2015-08-19 18:00:00",15.75,6657388
"2015-08-20 18:00:00",15.95,9700054
"2015-08-21 18:00:00",15.975,1750000
"2015-08-24 18:00:00",15.775,13394879
"2015-08-25 18:00:00",15.85,12301921
"2015-08-26 18:00:00",16.3,13003537
"2015-08-27 18:00:00",16.65,20874357
"2015-08-28 18:00:00",16.55,3320000
"2015-08-31 18:00:00",16.7,3775517
"2015-09-01 18:00:00",16.7,0
"2015-09-02 18:00:00",16.7,121952
"2015-09-03 18:00:00",16.7,0
"2015-09-04 18:00:00",16.55,1408000
"2015-09-07 18:00:00",16.75,4418750
"2015-09-08 18:00:00",16.9,11650000
"2015-09-09 18:00:00",17,8980000
"2015-09-10 18:00:00",17,8250000
"2015-09-11 18:00:00",16.85,4000000
"2015-09-14 18:00:00",16.85,12456565
"2015-09-15 18:00:00",16.775,4015264
"2015-09-16 18:00:00",16.8,8402394
"2015-09-17 18:00:00",16.85,3500000
"2015-09-18 18:00:00",16.85,0
"2015-09-21 18:00:00",16.75,1020000
"2015-09-22 18:00:00",16.7,4436211
"2015-09-23 18:00:00",17.25,17163660
"2015-09-24 18:00:00",17.3,3527000
"2015-09-25 18:00:00",17.4,9400000
"2015-09-28 18:00:00",17.55,9500000
"2015-09-29 18:00:00",17.4,2767494
"2015-09-30 18:00:00",17.55,3700000
"2015-10-01 18:00:00",17.25,1277927
"2015-10-02 18:00:00",17.4,1085600
"2015-10-05 18:00:00",17.7,7068858
"2015-10-06 18:00:00",17.75,442851
"2015-10-07 18:00:00",17.75,5790947
"2015-10-08 18:00:00",17.85,5275016
"2015-10-09 18:00:00",17.9,2500000
"2015-10-12 18:00:00",17.9,3167300
"2015-10-13 18:00:00",18.3,8606350
"2015-10-14 18:00:00",18.35,7092095
"2015-10-15 18:00:00",18.45,527100
"2015-10-16 18:00:00",18.5,36216
"2015-10-19 18:00:00",18.4,22000
"2015-10-20 18:00:00",18.8,16000000
"2015-10-21 18:00:00",18.8,7265140
"2015-10-22 18:00:00",19.05,3904000
"2015-10-23 18:00:00",19.15,5754550
"2015-10-26 18:00:00",19,1559229
"2015-10-27 18:00:00",19.05,2990952
